,Title,Jun-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26,
,SA/CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,
,Revenue From Operations(Gross),4727.6,3327.8,4999.5,5109.2,5612,5511.5,6355.2,7772.8,9201.6,10134.3,10446.3,11217.7,
,Sale of Products,4544,3304.9,4973.8,5046.6,5558,5460.5,6290.8,7722.6,9128.8,10071.2,10349.4,11126.1,
,Manufactured / Finished Goods,0,0,4973.8,4959.9,5458.1,5405.3,6132.7,7569.3,9010.3,9956.1,10201.1,10956.1,
,Traded Goods,0,0,0,86.7,99.9,55.3,158.1,153.3,118.5,115.2,148.3,170,
,Other,4544,3304.9,0,0,0,0,0,0,0,0,0,0,
,"Less: Claims, Discounts, Taxes etc.",0,0,0,0,0,0,0,0,0,0,0,0,
,Sale of services,147.9,6.5,4.8,9.4,6.4,5.5,9.8,8.5,8.6,9.3,9.7,8.9,
,Income From Insurance Operations,0,0,0,0,0,0,0,0,0,0,0,0,
,Other operating revenues,35.7,16.4,20.8,53.3,47.6,45.5,54.6,41.7,64.2,53.8,87.2,82.7,
,Sale of Scrap,0,5.3,8.9,13.7,14.3,14.7,10.4,17.6,23.3,18.5,20.8,19.8,
,Export Incentives and Claims,0,0,0,3.8,5.5,6.4,4.5,5.1,6.3,6,9.5,8.8,
,Provision for Doubtful Debts written back,0,0,0,0,0,0,7.5,8.3,14.4,20.9,49.9,27.8,
,Other Write Backs,0.3,2.3,1.4,3,3.4,2.9,0,0,0,0,0,0,
,Licensing Fees,1.3,1.3,0,0,0,0,0,0,0,0,0,0,
,Insurance Claim,0,0,0,3.2,0.5,0.6,0.2,0.4,1.6,3.6,1.7,0.9,
,Government Grant / Subsidy Income,25.4,6.7,9.5,29.6,24,20.9,32.1,10.3,18.5,4.7,5.2,25.4,
,Others,8.7,0.8,1.1,0,0,0,0,0,0,0,0,0,
,Reported Sales,4255.2,2960.1,4462.3,4970.1,5612,5511.5,6355.2,7772.8,9201.6,10134.3,10446.3,11217.7,
,Less: Excise Duty,472.4,367.7,537.2,139.1,0,0,0,0,0,0,0,0,
,Revenue From Operations(Net),4255.2,2960.1,4462.3,4970.1,5612,5511.5,6355.2,7772.8,9201.6,10134.3,10446.3,11217.7,
,Other Income,4.7,4.8,8.4,3.5,7.8,1.4,16.9,20,29.8,65.7,57.8,44.8,
,Interest Income,2.2,2.7,3.3,0,0,0,2.8,1.4,2.4,14.6,3.5,13.5,
,From Income-Tax Refunds,0,0,0,0,0,0,0,0,0,11.5,0.3,10.4,
,From Others,2.2,2.7,3.3,0,0,0,2.8,1.4,2.4,3.2,3.2,3,
,Dividend Income,0,0,0,0,0,0,0,0,0,0,0,0,
,From Others,0,0,0,0,0,0,0,0,0,0,0,0,
,Profit on Sale of Investments,1,4.3,3.1,0,0,0,0,5.4,23.4,47.7,48.4,26.2,
