Title,Jun-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26
SA/CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON
Net Profit,471.7,329.7,582.5,637.5,597.2,641.3,1212.2,1231.8,1111.3,1405.4,1239,1241.9
Total Adjustments,194.7,129.3,176.8,144.9,182.5,224.8,70.8,19.3,94.3,151.1,166.2,315.3
Interest Income,0,0,0,-4.5,-4.8,-4.6,-0.8,-0.9,-1.7,-1.2,-2.2,-12.2
Interest Expenses,58,28.9,28.3,26.8,33.4,29.6,22,5.1,8,16.1,11.9,29
Dividend Income,0,0,0,0,0,0,0,0,0,0,0,0
Finance Lease & Rental Charges,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation and Amortization,139,104.6,154.5,167.2,183.5,205.9,213,229.5,263.4,298.4,358.6,428.3
Impairment Gain / Losses :,0,0,0,0,0,0,0,0,0,0,0,0
Gain / Loss on Foreign Exchange,0,0,-2.3,-5.3,-6.8,18.5,2.1,16.5,17.1,12.2,19.6,23.1
Realised / Unrealised Foreign Exchange,0,-2,0,0,0,0,0,0,0,0,0,0
Gain / Loss on Sale of Property and Equipments,-1.4,0,0,0,0,0,0,-3,-1.8,-0.4,-1.2,-1.4
Profit / Loss on Sale of Investments,-1,-2.1,-1.5,-1.3,-2.2,-1.3,-9.4,-14.8,-18.8,-29.8,-55.8,-36.3
Profit / Loss on Sale of Groups Companies,0,0,0,0,0,0.7,0,0,0,0,0,0
Provision and Write off :,0.2,-1.1,1.1,-2.4,-2.7,8.9,-6,-8.3,-13.1,-20.3,-49.8,-23.4
Bad Debts,0,0.7,0.5,0.1,0,0,0,0,0,0,0,0
"Provision for Doubtful Debts, Loans & Advances / Bad debts",0,1.2,1.1,0.6,0.7,11.8,1.5,0,1.3,0.6,0.1,4.5
Other Written-off,0.2,-2.3,0,-3,-3.4,-2.9,-7.5,-8.3,-14.4,-20.9,-49.9,-27.8
Share of Profit / Loss of Joint Venture,0,0,0,0,0,0,0,0,-153.7,-106.8,-120.5,-101.1
Share of Profit / Loss of Associates,0,0,0,-34.7,-14.4,-31.2,-145.7,-204.1,-153.2,-106.2,-120.1,-101.1
Share of Profit / Loss of Partnership Firm,0,0,0,0,0,0,-0.1,-0.3,-0.4,-0.6,-0.3,0.1
Other Adjustments :,0,1.1,-3.1,-0.8,-3.6,-0.9,-4.1,-0.4,-5.2,-17.2,5.5,9.3
Change in Fair Value of Investments,0,0,0,0,0,-0.4,-0.3,-0.4,-5.2,-17.2,5.5,9.3
Profit / Loss on Sale of Assets,0,1.2,-1.1,-0.7,-3.4,-0.5,-3.8,0,0,0,0,0
Rental Income,0,0,-0.1,0,0,0,0,0,0,0,0,0
Adjustments - Unwinding,0,0,0,-0.4,-0.4,0,0,0,0,0,0,0
Other Non-Cash Adjustments,0,-0.2,-1.9,0,0,0,0,0,0,0,0,0
Other Cash Adjustments,0,0.1,0,0.2,0.2,0,0,0,0,0,0,0
Operating Income Before Working Capital Changes,666.5,459,759.3,782.4,779.7,866.2,1283,1251.1,1205.6,1556.5,1405.2,1557.2
Changes in Assets :,17.3,-97.4,-251.4,-39,-52.9,-116.1,21,-603.3,-174.9,32.2,-21.4,-259.4
Changes in Receivables,-15.7,1.8,-39.1,-107.2,-6.1,62.8,-78.9,-76.9,-26.9,-19.7,-28.8,60.4
Changes in Current Assets :,0,-2.3,-1.9,-0.1,0,0,0,0,0,0,0,0
