Title,Sep-18,Mar-19,Sep-19,Mar-20,Sep-20,Mar-21,Sep-21,Mar-22,Sep-22,Mar-23,Sep-23,Mar-24,Sep-24,Mar-25,Sep-25,Mar-26
SA/CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON
Net Profit before Tax & Extraordinary Items,308.4,597.2,252.6,641.3,282.8,1212.2,509.3,1231.8,373.3,1111.3,602.8,1405.4,626.5,1239,482.8,1241.9
Total Adjustments (PBT & Extraordinary Items),95.5,182.5,99.4,222.5,96.2,70.8,29.9,19.3,52.7,94.3,71.7,151.1,60.1,166.2,142.4,315.3
Depreciation,89.9,183.5,101.3,205.9,103.2,213,113.4,229.5,126.5,263.4,144,298.4,176,358.6,197.4,428.3
Interest (Net),14.4,28.6,11.3,22.6,13.4,21.2,2.2,4.1,2.5,6.4,2.9,14.9,5.3,9.7,-0.2,16.9
Dividend Received,0,0,0,0,0,0,0,0,0,-153.2,0,-106.8,0,0,0,0
P/L on Sales of Assets,-0.3,0,-0.3,0,0,0,0,0,0,0,0,0,0,-1.2,0,-1.4
P/L on Sales of Invest,-0.8,-2.2,-0.8,-2,-2.9,-9.4,-5.6,-9.4,-8.3,-23.4,-25.9,-29.8,-33,-55.8,-23.7,-36.3
Prov. & W/O (Net),0.3,-2.7,4.9,8.9,0.5,-6,-3.4,-8.3,-5.6,-13.1,-9.4,-20.3,-29.5,-49.8,-8.9,-23.4
P/L in Forex,0.8,-6.8,6.6,18.5,5.2,2.1,9.1,16.5,14.6,17.1,3.8,12.2,7.1,19.6,16.1,23.1
Others,-8.7,-18,-23.6,-31.5,-23.1,-150.1,-85.9,-213.2,-77,-2.8,-43.6,-17.5,-65.8,-115,-38.2,-91.8
Op. Profit before Working Capital Changes,403.9,779.7,352.1,863.8,379,1283,539.2,1251.1,426,1205.6,674.6,1556.5,686.6,1405.2,625.2,1557.2
Total (OP before Working Capital Changes),-42.6,31.7,10.7,-164.6,204.5,225.6,-419.2,-494.1,61.5,-77.7,-221,179.6,-339.9,-99.2,-258.5,-83.1
Trade & Other receivables,-40.8,-6.1,-7.2,62.8,16.2,0,44.6,0,56.8,0,-40,0,-30.9,-28.8,-0.2,60.4
Inventories,-84.4,-53.4,37.3,-140.1,126.3,129.8,-395.1,-499.4,13.3,-125.5,-64.8,28.6,-305.2,24.9,-367.7,-239.5
Trade Payables,90.8,82.2,-81.2,-19.4,10.7,104.4,-65.9,142.1,3.9,107.9,-91.5,120.5,10.7,-91.8,158.1,127.9
Others,-8.2,9.2,61.9,-67.8,51.2,-8.6,-2.8,-136.8,-12.4,-60.2,-24.6,30.4,-14.5,-3.5,-48.7,-31.8
Cash Generated from/(used in) Operations,361.4,811.4,362.7,699.2,583.4,1508.6,120,757,487.6,1127.8,453.6,1736.1,346.7,1306.1,366.7,1474.1
Total-others,-109.3,-255.7,-100.6,-162.1,-74.1,-262.2,-161.1,-286.7,-118.4,-237.5,-154.9,-323.2,-187.8,-302.3,-136.6,-249.4
Direct Taxes Paid,-109.3,-255.7,-100.6,-162.1,-74.1,-262.2,-161.1,-286.7,-118.4,-237.5,-154.9,-323.2,-187.8,-302.3,-136.6,-249.4
Cash Flow before Extraordinary Items,252,555.7,262.2,537.1,509.4,1246.4,-41.2,470.3,369.1,890.3,298.7,1412.9,158.9,1003.7,230,1224.8
Net Cash from Operating Activities+,252,555.7,262.2,537.1,509.4,1246.4,-41.2,470.3,369.1,890.3,298.7,1412.9,158.9,1003.7,230,1224.8
Purchased of Fixed Assets,-185.6,-347.2,-173.8,-241.6,-71.1,-226.6,-208.1,-469.9,-236.9,-424.3,-249.9,-549.3,-426.5,-890.4,-566.7,-815
Sale of Fixed Assets,1.7,21.2,0.5,2,0.1,5.6,1.8,3.9,0.4,2.5,0.3,2.6,0.5,2.7,1.5,6.7
Purchase of Investments,-30.2,-1044,0,-1773,-685.7,-2069.1,-2596.7,-2265.5,-1416.9,-2565.9,-844.6,-3724.1,-1981.5,-4633.5,-2845.1,-6090.1
Sale of Investments,0.8,1046.2,0.8,1799.2,688.1,2077,2602.3,2279.4,1424.9,2584.8,862.4,3747.8,1986.2,4673.3,2870.5,6127.1
Interest Received,0.6,5.1,1.3,2.4,6.7,0.9,0.5,0.9,0.4,1.7,0.3,1.2,0.6,2.2,0.6,1.7
Dividend Received,11.1,13,5.8,17.4,4.3,11.6,36.2,47.8,40.5,52.1,40.5,52.1,40.5,55,43.4,57.9
Investment in Group Cos,0,-30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Others,96.4,96.4,0,-0.1,0,0,0,0,0,0,0,-138.8,0,0,-302.2,-302.1
Net Cash Used in Investing Activities+,-105.2,-239.6,-165.4,-193.7,-57.6,-200.6,-164,-403.5,-187.5,-349.3,-191,-608.5,-380.2,-790.7,-797.9,-1013.7
Proceed from Other Long Term Borrowings,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceed from Short Tem Borrowings,3,0,138.2,238.3,0,0,0,0,0,0,0,0,0,0,239.8,0
Of the Long Tem Borrowings,0,-15.4,-0.3,-0.3,-0.3,-0.3,-1,-0.7,0,0,0,0,0,0,0,0
Of the short term Borrowings,0,-72.8,0,0,-376.7,-410.1,0,-0.3,0,0,0,0,0,0,0,0
Of financial Liabilities,0,0,0,-28.3,-11.8,-30,-14.1,-32.2,-18,-40.4,-22.3,-44.2,-27.3,-27.8,-27.5,-31.4
Dividend Paid,-137.8,-199.1,-137.8,-352.2,0,-63.5,-216,-292.2,-228.6,-304.9,-254.1,-355.7,-279.5,-406.5,-304.9,-444.6
Others,0,0,0,14.2,5.9,15,7,16.1,9,20.2,11.1,22.1,13.6,0,13.7,0
Net Cash Used in Financing Activities+,-140.2,-316,-10.4,-155.5,-396.3,-505.5,-225.2,-310.3,-238.3,-326.6,-266.2,-381.7,-295.4,-440,-83.7,-496.2
Net Inc/(Dec) in Cash and Cash Equivalent,6.6,0.1,86.3,187.8,55.4,540.3,-430.3,-243.5,-56.7,214.5,-158.5,422.7,-516.7,-227,-651.6,-285.2
Cash and Cash Equivalents at Beginning of the year,32,32,32.1,32.1,219.9,219.9,761.5,761.5,519,518.9,738,738,1178.5,1178.5,944.1,944.1
Cash and Cash Equivalents at End of the year,38.6,32.1,118.4,219.9,275.8,761.5,331.6,518.9,463.4,738,583.6,1178.5,674.5,944.1,289.3,648.8
Other Adjustments,0,0,0,0,0.6,1.4,0.4,0.9,1.1,4.6,4.2,17.9,12.7,-7.3,-3.2,-10.1
Interest Paid,-15,-28.7,-10.5,-27.1,-13.4,-16.6,-1.1,-1,-0.7,-1.5,-1,-3.9,-2.3,-5.7,-4.9,-20.2
