Title,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,Sep-20,Dec-20,Mar-21,Jun-21,Sep-21,Dec-21,Mar-22,Jun-22,Sep-22,Dec-22,Mar-23,Jun-23,Sep-23,Dec-23,Mar-24,Jun-24,Sep-24,Dec-24,Mar-25,Jun-25,Sep-25,Dec-25,Mar-26
SA/CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON
Gross Sales/Income from operations,1270.3,860,1111.7,1200.3,1189.3,882.9,1107.4,1282.6,1161.7,1055.1,1278.3,1471.3,1345.7,1320.8,1410.4,1530.9,1436.8,1270.9,1373.3,1430.5,1053.9,1374.8,1843.8,2082.7,1342.1,1928.5,1945.1,2557.1,2206,2086.6,2310.7,2598.3,2368.6,2308.7,2449.1,3007.9,2636.4,2273,2509.9,3027.1,2609.2,2393.9,2686.9,3527.7
Sale of Product,,860,1111.7,1200.3,1189.3,882.9,1107.4,1282.6,1161.7,1055.1,1278.3,1471.3,1345.7,1320.8,1410.4,1530.9,1436.8,1270.9,1373.3,1430.5,1053.9,1374.8,1843.8,2082.7,1342.1,1928.5,1945.1,2557.1,2206,2086.6,2310.7,2598.3,2368.6,2308.7,2449.1,3007.9,2636.4,2273,2509.9,3027.1,2609.2,2393.9,2686.9,3527.7
Less: Excise duty,0,93.9,123.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Sales/Income from operations,1270.3,766.1,988.5,1200.3,1189.3,882.9,1107.4,1282.6,1161.7,1055.1,1278.3,1471.3,1345.7,1320.8,1410.4,1530.9,1436.8,1270.9,1373.3,1430.5,1053.9,1374.8,1843.8,2082.7,1342.1,1928.5,1945.1,2557.1,2206,2086.6,2310.7,2598.3,2368.6,2308.7,2449.1,3007.9,2636.4,2273,2509.9,3027.1,2609.2,2393.9,2686.9,3527.7
Other Operating Income,,3.2,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Income from operations (net),1270.3,769.3,992.7,1200.3,1189.3,882.9,1107.4,1282.6,1161.7,1055.1,1278.3,1471.3,1345.7,1320.8,1410.4,1530.9,1436.8,1270.9,1373.3,1430.5,1053.9,1374.8,1843.8,2082.7,1342.1,1928.5,1945.1,2557.1,2206,2086.6,2310.7,2598.3,2368.6,2308.7,2449.1,3007.9,2636.4,2273,2509.9,3027.1,2609.2,2393.9,2686.9,3527.7
Total Expenses,1055.6,713.7,871.3,1022.6,1024.4,786,960.4,1083.9,1043.6,953.5,1123.3,1225.9,1202.7,1151,1280.3,1377.1,1319,1149.8,1203.9,1209.9,987.6,1171.2,1497.2,1627.9,1176.2,1674.9,1684.7,2224.5,1998.8,2004.3,2072.1,2190.1,2119,2024.4,2147.5,2594.4,2335.1,2043.7,2292.4,2702.2,2383.4,2200.8,2482.7,3025.9
Cost of Sales,820.2,494.1,637.2,768.6,820.3,600.1,755.9,878.1,834.7,739,895.5,995.7,971.2,912.3,1026.4,1115.4,1057.6,890.4,943.2,903.2,789.3,902.2,1216.4,1333.4,910.6,1377.3,1373.4,1905.3,1678.9,1668,1716.2,1802.8,1735.3,1613.8,1725.6,2112.5,1882.4,1488.6,1728.9,2133.2,1789.5,1587,1827,2355.7
Raw Material Consumed,636.3,610.7,627,679.3,751.4,637.7,702.1,814.8,765.5,745.9,825.3,829,881.4,959.6,956.6,947.2,995.7,877.7,953.3,879.4,573.2,903.1,1078.1,1209.1,997.4,1326.4,1317.5,1787.6,1558.1,1597.8,1617.5,1651.2,1688.7,1602.1,1705.2,1763.2,1776.5,1643.9,1826.9,1783.7,1920.1,1711.3,1821.6,2101
