"Title","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025"
"SA/CON","SA","SA","SA","CON","CON","CON","CON","CON","CON","CON"
"Net Profit","19.7","31.2","33.1","51.9","48.7","70.9","80.6","128.1","164.3","164.9"
"Total Adjustments","11","14.3","12","25.8","29","26.8","19.6","22.9","20.8","22.7"
"Interest Income","-0.1","0","0","-0.2","-0.2","-0.2","-0.4","-0.4","-3.8","-4.7"
"Interest Expenses","6.5","8.6","6.3","7.6","9.3","3.5","3.1","3.3","2.5","3.9"
"Depreciation and Amortization","4.6","5.7","10.8","18.2","21","23.1","23.3","20","22.3","23.9"
"Unrealised and Realised Gain/Loss","0","0","-3","0","0","0","0","0","0","0"
"Impairment Gain / Losses :","0","0","0","0","0","0","0","0","0","0"
"Gain / Loss on Foreign Exchange","0","0","0","0","-1.1","0","0","0","0","0"
"Realised / Unrealised Foreign Exchange","0","0","0","0","0","0.5","0","0","0","0"
"Gain / Loss on Sale of Property and Equipments","0","0.1","-0.8","0.2","0","-0.1","0","0","-0.2","-0.4"
"Provision and Write off :","0","0","0","0","0","0","0","0","0","0"
"Other Adjustments :","0","0","-1.2","0","0","0","-6.4","0","0","0"
"Amortization of Deferred and Other Expenses","0","0","-1.2","0","0","0","0","0","0","0"
"Government Grants","0","0","0","0","0","0","-6.4","0","0","0"
"Operating Income Before Working Capital Changes","30.7","45.5","45.1","77.7","77.7","97.8","100.1","151","185.1","187.6"
"Changes in Assets :","-29","-20.6","-26.8","-28.4","-7.7","-18.8","-81.2","-34","-8.9","-87.9"
"Changes in Receivables","-6.5","-9.9","-22.1","-23.1","-7.2","-13.7","-20.1","-7.1","-39.2","-42.8"
"Changes in Current Assets :","0","0","0","0","0","0","0","0","11.8","-5.5"
"Changes in Other Financial Assets","0","0","0","0","0","0","0","0","11.8","-5.5"
"Changes in Inventories","-17.7","-10.7","-4.8","-5.3","-0.5","-5.1","-61.1","-26.9","14.7","-40.1"
"Changes in Loans and Advances","-4.3","0","0","0","0","0","0","0","0","0"
"Changes in Other Current Assets","-0.3","0","0","0","0","0","0","0","3.8","0.5"
"Changes in Liabilities :","14.7","9","12.1","-12.3","13.2","17.1","10.4","-25.1","-23.7","51.7"
"Changes in Accounts Payable","6.6","9","12.1","-12.3","13.2","17.1","10.4","-25.1","-4","8.6"
"Changes in Current Liabilities and Provisions :","-0.4","0","0","0","0","0","0","0","-23.4","40.2"
"Changes in Other Financial Liabilities","0","0","0","0","0","0","0","0","-23.7","37.4"
"Changes in Provisions","0","0","0","0","0","0","0","0","-6.6","-1.5"
"Changes in Current Liabilities","0","0","0","0","0","0","0","0","6.9","4.3"
"Changes in Non-Current Liabilities","0","0","0","0","0","0","0","0","3.7","2.9"
"Changes in Other Current Liabilities","8.6","0","0","0","0","0","0","0","0","0"
"Changes in Working Capital","-14.2","-11.6","-14.7","-40.7","5.5","-1.7","-70.8","-59.1","-32.6","-36.2"
"Net Cash Used in Operating Activities","16.5","33.9","30.4","37","83.2","96.1","29.3","91.9","152.5","151.4"
"Income Taxes Paid :","-5.4","-7.6","-11","-8.5","-17.3","-17.2","-19.1","-25.7","-43.4","-44"
"Direct Taxes Paid","-5.4","-7.6","-11","-8.5","-17.3","-17.2","-19.1","-25.7","-43.4","-44"
"Net Interest :","0","0","0","0","0","0","0","0","0","0"
"Other Operating Activities","0","0","0","0","0","0","-4.2","0","0","0"
"Other Activities","-5.4","-7.6","-11","-8.5","-17.3","-17.2","-23.4","-25.7","-43.4","-44"
"Cash Flow before Extraordinary Items","11.1","26.2","19.3","28.5","65.9","78.9","5.9","66.2","109.1","107.4"
"Net Cash Generated From (Used in) Operations","11.1","26.2","19.3","28.5","65.9","78.9","5.9","66.2","109.1","107.4"
"Proceeds from Sale of Fixed Assets","0","0","1.4","0.4","147.9","0.8","0.7","0.2","5.1","0.4"
"Purchase of Fixed Assets","0","-77.5","-10.4","-45.6","-172.2","-6.6","-14.4","-26.1","-19.3","-107.5"
"Capital Expenditure","-37.6","0","0","0","0","0","0","0","0","0"
"Capital Work in Progress","0","0.1","0","0","0","0","0","0","0","0"
"Proceeds from Sale of Investments :","0","0","0","2.5","34","0.3","0","4.4","2.2","0"
"Purchase of Investments :","0","0","0","0","0","0","-5.8","0","0","0"
"Acquisition of Groups Companies and Subsidiaries :","0","0","0","0","0","0","0","0","0","0"
"Disposal of Groups Companies and Subsidiaries :","0","0","0","0","0","0","0","0","0","0"
"Investments in Subsidiaries","0","0","0","0","-0.6","-0.4","0","0","0","0"
"Investments in Groups Companies and Subsidiaries","0","0","0","0","-0.6","-0.4","0","0","0","0"
"Loans to Subsidiaries","0","0","0","0","0","0","0","0","0","0"
"Interest Received","0.1","0","0","0.2","0.2","0.2","0.4","0.4","3.8","4.7"
"Changes in Deposits :","0","0","0.6","-8.9","10","0","0","0","0","0"
"Investment / Increase in Deposits","0","0","0","-8.9","0","0","0","0","0","0"
"Redemption / Decrease of Deposits","0","0","0.6","0","10","0","0","0","0","0"
"Other Investments Activities :","0","0","0.3","-1.1","-0.2","0.2","-10.5","8.8","-27.9","-24"
"Proceeds from Sale of Assets","0","0","0.3","0","0","0.2","0","8.8","0","0"
"Purchase of Assets","0","0","0","-1.1","-0.2","0","-10.5","0","0","0"
"Other Investments Activities","0","0","0","0","0","0","0","0","-27.9","-24"
"Cash Flows From Investing Activities","-37.5","-77.3","-8.1","-52.5","19.1","-5.4","-29.6","-12.3","-36.1","-126.4"
"Proceeds from Subscription of Capital Stock(including Share Premium)","0","0","51.1","0","0","0","0","0","0","0"
"Proceeds from Issue Shares / Subscription of Capital Stock","0","0","51.1","0","0","0","0","0","0","0"
"Proceeds from Long-term Debt","24.9","30.7","0","46.3","0","0","0","0","0","0"
"Payments of Long-term Debt","0","-5.1","-47.4","-11.7","-57.5","-23.5","-14.6","-12.7","0","0"
"Proceeds from Short-term Debt","7.7","33.9","0","0","0","0","34.8","0","0","0"
"Payments of Short-term Debt","0","0","-8.6","-4.5","-13.6","-37.4","0","-19.8","0","0"
"Payments of Other Borrowings(including Long-term and Short-term debt)","0","0","0","0","0","0","0","0","-1.4","0"
"Interest Paid","0","-8.6","-6.3","-7.6","-9.3","-3.5","-3.1","-3.3","-2.5","-3.9"
"Other Financial Activities :","-6.5","0","0","0","0","0","0","0","0","0"
"Cash Flows from Financing Activities","26.2","51","-11.2","22.5","-80.4","-64.4","17.1","-35.8","-3.9","-3.9"
"Net Increase (Decrease) in Cash and Cash Equivalent","-0.3","-0.1","0.1","-1.6","4.5","9","-6.5","18.1","69.1","-22.8"
"Cash and Cash Equivalents at Beginning","1.9","0.3","0.2","3.2","1.6","6.1","15.1","8.7","4.4","73.5"
"Cash and Cash Equivalents at End","1.7","0.2","0.3","1.6","6.1","15.1","8.7","26.7","73.5","50.7"
