"Title","Jun 2015","Sep 2015","Dec 2015","Mar 2016","Jun 2016","Sep 2016","Dec 2016","Mar 2017","Jun 2017","Sep 2017","Dec 2017","Mar 2018","Jun 2018","Sep 2018","Dec 2018","Mar 2019","Jun 2019","Sep 2019","Dec 2019","Mar 2020","Jun 2020","Sep 2020","Dec 2020","Mar 2021","Jun 2021","Sep 2021","Dec 2021","Mar 2022","Jun 2022","Sep 2022","Dec 2022","Mar 2023","Jun 2023","Sep 2023","Dec 2023","Mar 2024","Jun 2024","Sep 2024","Dec 2024","Mar 2025","Jun 2025","Sep 2025","Dec 2025","Mar 2026"
"SA/CON","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Gross Sales/Income from operations","60.3","60.3","58.3","70","72.5","77.3","72.5","90.7","76.5","78.5","81.9","102.7","107.7","108.7","119.6","125.3","112.8","117.4","126.8","105.1","70.3","115","124.1","170.2","130.8","172","176.9","179.7","235","246.3","234","236.8","225.7","233.9","214.6","239.9","242.6","262.7","254.5","265.3","283","292.4","271","283"
"Sale of Product","","0","58.3","70","72.5","0","0","90.7","76.5","78.5","0","102.7","107.7","108.7","0","125.3","112.8","117.4","126.8","105.1","70.3","115","124.1","170.2","130.8","172","176.9","179.7","235","246.3","234","236.8","225.7","233.9","214.6","239.9","242.6","262.7","254.5","265.3","283","292.4","271","283"
"Other Sales & Service","","60.3","0","0","0","77.3","72.5","0","0","0","81.9","0","0","0","119.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Less: Excise duty","0","0","0","0","2.5","3.3","2.6","10.4","1.4","0","0","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Net Sales/Income from operations","60.3","60.3","58.3","70","70","74","69.9","80.4","75.1","78.5","81.9","102.5","107.7","108.7","119.6","125.3","112.8","117.4","126.8","105.1","70.3","115","124.1","170.2","130.8","172","176.9","179.7","235","246.3","234","236.8","225.7","233.9","214.6","239.9","242.6","262.7","254.5","265.3","283","292.4","271","283"
"Total Income from operations (net)","60.3","60.3","58.3","70","70","74","69.9","80.4","75.1","78.5","81.9","102.5","107.7","108.7","119.6","125.3","112.8","117.4","126.8","105.1","70.3","115","124.1","170.2","130.8","172","176.9","179.7","235","246.3","234","236.8","225.7","233.9","214.6","239.9","242.6","262.7","254.5","265.3","283","292.4","271","283"
"Total Expenses","55.2","54","51.9","62.9","60.6","64","61.6","68","65.4","71.5","75.9","92.4","94.2","94","102.5","110.6","98.4","101.6","111.1","92.6","61.1","96","105.4","141.1","110.3","153.4","149.8","165.4","205.4","212.8","198.4","200.7","189","192","172.3","198.5","206.8","213.8","214.4","228.8","235","240.6","220.1","233.6"
"Cost of Sales","37.4","36.2","32.7","35.6","38.2","35.8","36.3","43.3","40.3","41.3","44.6","56.4","59.5","59.7","66.5","65.3","64","64","67.3","53.7","37.2","57.9","62.7","88.7","69.1","100.6","98.7","107.2","133.7","137","130.7","129.6","125.4","124.5","109.2","115.1","134.6","134.1","139.3","149.4","156.9","157.2","144.9","145"
"Raw Material Consumed","35.2","38.3","29.1","35.2","36.5","39.2","37.2","31.7","36.8","50.5","46.6","44.6","50","63.1","62","76.4","59.2","62.4","66.5","53.6","32.9","58","62.3","98","76.5","101","102.2","110.1","144.6","145.2","129.4","135","118.8","120","106.9","113.5","129.2","146.4","145.3","141.4","155.3","166.2","148.2","144.3"
"Purchase of Finished Goods","1","4.8","1.8","0.1","1.6","1.7","1.2","4.8","1.8","1.6","1.4","2.8","0","0","0.1","0.1","0.8","-0.7","0.1","0.1","0.1","0","0","0.2","0.2","0.2","0.6","0","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0"
"Changes in inventories of finished goods, work-in-progress and stock-in-trade","1.2","-6.9","1.8","0.3","0.1","-5.1","-2.2","6.9","1.7","-10.8","-3.3","8.9","9.5","-3.5","4.4","-11.1","4.1","2.3","0.7","0.1","4.2","-0.1","0.4","-9.4","-7.5","-0.7","-4.1","-3","-10.8","-8.2","1.3","-5.4","6.6","4.5","2.3","1.6","5.4","-12.3","-6","8","1.6","-9","-3.3","0.7"
"Other Direct Cost/Service Cost","12.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Employee Cost","3.8","4.1","5","5.7","5.3","6.3","6.5","8.5","6.5","7.4","8.4","7.9","6","7","8.3","8.8","7.9","9.2","10.2","10.3","6.3","8.7","10.6","12.7","11.8","14.3","14.6","14.1","15.4","16.9","17.9","18.6","18.6","18.7","19","18.8","19.4","20.5","20.7","23","22.4","23.7","19.8","30.1"
"Depreciation, amortization and depletion expense","1.1","1.2","1.2","1.2","1.2","1.3","1.3","1.8","1.7","2.2","2.6","4.3","3.8","3.6","3.6","6.5","4.1","4.2","6.7","6","5.3","5.5","6.8","5.5","5.7","5.9","6","5.6","5.8","6","3.8","4.4","5.1","5.3","5.6","6.3","6.1","5.4","5.9","6.5","5","4.8","4.7","6.2"
"Provisions & Write Offs","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
