"Title","Sep 2015","Mar 2016","Sep 2016","Mar 2017","Sep 2017","Mar 2018","Sep 2018","Mar 2019","Sep 2019","Mar 2020","Sep 2020","Mar 2021","Sep 2021","Mar 2022","Sep 2022","Mar 2023","Sep 2023","Mar 2024","Sep 2024","Mar 2025","Sep 2025","Mar 2026"
"SA/CON","SA","SA","SA","SA","SA","SA","SA","SA","SA","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Shareholders Fund","49.4","56.2","66.2","76.5","134.8","145.6","160.8","185.5","195.1","204.2","223.6","259.5","284.2","316.1","361.3","412.1","471.6","536.3","599","657.4","723","807"
"Share Capital","7.3","7.3","7.3","7.3","8.2","8.2","8.2","8.5","8.2","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5"
"Reserves & Surplus","42.1","48.9","58.9","69.2","126.6","137.5","152.6","177","186.9","195.8","215.1","251","275.7","307.6","352.8","403.6","463.1","527.8","590.5","648.9","714.6","798.5"
"Total Non Current Liabilities","42","65.6","90.3","96","60.3","54.7","57.5","119.5","83","57.7","50.9","42.6","36.3","23","20.3","18","17.2","11.1","12.1","13.8","18.8","20.3"
"Long Term Borrowings","40.3","62.8","88.2","88.6","55.4","42.4","43.9","97.6","64.2","35.7","30.4","21.5","14.4","9.1","4","0.6","0","0","0","0","0","0"
"Deferred Tax Liabilities(Net)","1.7","2","2","2.7","2.7","6.2","7.3","13.4","9.8","13.4","12","12.2","12.7","10.8","9.5","10","10.1","2.5","0.9","1.2","1.3","2.3"
"Other Long Term Liabilities","0","0.3","0","3.4","1.2","4.8","4.8","6.8","7.4","6.6","6.6","6.5","6.5","0.8","4.2","4.9","4.6","5.3","6.5","7.5","11.7","11.4"
"Long Term Provisions","0","0.5","0","1.4","1","1.4","1.4","1.6","1.7","2","1.9","2.4","2.7","2.3","2.6","2.6","2.6","3.3","4.8","5.1","5.7","6.6"
"Total Current Liabilities","74.3","89.3","120.4","130.7","120.9","127.8","129.9","133.2","112","133.4","102.1","105.1","128.3","149.8","172.4","108","74.7","59.9","89.8","107.1","115.9","152.1"
"Short Term Borrowings","46.3","48.9","78.6","82.8","74.1","74.2","81.8","72.1","68.6","58.5","43.3","21.1","37.1","55.9","71.1","36.2","0","0","6.7","36.1","0","29.1"
"Trade Payables","13.2","19.7","17.5","18.4","0","34.2","27.8","27.4","23.1","35.5","22.2","51.5","60.6","58","66","39.9","48.4","38.8","51","46.5","70.8","82.1"
"Other Current Liabilities","12.1","17.2","18.5","28.9","46.5","18.9","20","33.2","20","38.5","35.9","31.8","29.8","34.7","34","30.8","24.6","19.6","30","22.9","42.8","38.8"
"Short Term Provisions","2.7","3.5","5.7","0.5","0.3","0.4","0.3","0.5","0.4","0.8","0.8","0.7","0.8","1.1","1.4","1.2","1.7","1.5","2.1","1.7","2.3","2.1"
"TOTAL EQUITY & LIABILITIES","165.8","211.1","276.8","303.2","315.9","328.2","348.1","438.2","390.1","395.3","376.6","407.2","448.8","488.9","553.9","538.1","563.5","607.3","701","778.3","857.7","979.3"
"Total Non Current Assets","85.6","112.3","146.1","191.2","193.8","189.9","201.1","265","230.3","210.5","204","193.3","188.4","183","189.7","188.9","186.5","203.5","188.7","311.1","390.7","450.7"
"Fixed Assets(incl. Capital Work in Progress)","85.6","112.3","146.1","188.4","190.2","185.7","189.5","246.2","217.3","206.1","196","187.8","184.6","178.7","185.1","184.6","181.9","176.7","185.5","260.3","358.8","422.3"
"Tangible Assets","54.2","56.3","57","79.7","99.7","185.7","180.9","233.5","189.2","194.9","187.9","187.8","184.6","178.7","176.7","168.4","169.9","171.7","169.8","174.9","193.7","200.4"
"Intangible Assets","0","0","0","0","0.4","0","0","0","0","0","0","0","0","0","0","3.4","0","3.3","3.2","2.3","1.8","0.4"
"Capital Work in Progress","31.4","56","89.2","108.7","90.1","0","8.6","12.7","28","11.2","8","0","0","0","8.4","12.8","12","1.7","12.6","83.1","163.3","221.5"
"Non Current Investments","0","0","0","0","0","0","0","1.1","1","1.5","1.5","1.4","1.2","1.1","1.1","1.1","1.1","0","0","0","0","0"
"Long Term Loans & Advances","0","0","0","1.4","1.2","1.1","1.1","1","1.3","1.3","1.3","1.4","1","1.5","1.6","1.6","1.9","2","2.1","2.2","2.1","2.3"
"Other Non Current Assets","0","0","0","1.4","2.4","3.1","10.6","16.7","10.7","1.6","5.2","2.7","1.7","1.6","1.8","1.5","1.5","24.8","1","48.6","29.8","26.2"
"Total Current Assets","80.2","98.8","130.7","112","122.1","138.3","146.9","173.1","159.8","184.7","172.7","213.8","260.4","305.9","364.2","349.2","377","403.9","512.3","467.3","466.9","528.6"
"Inventories","30.7","43.2","53","53.9","50.7","58.7","55.9","66.2","54.4","66.7","52.1","71.9","106.5","132.9","163.2","159.8","147.6","145.1","171.3","185.3","194.4","218.4"
"Trade Receivables","33.6","40.1","47.8","46.9","53.3","57.2","73.8","78.9","82.3","87.4","87.4","98.6","105.4","118.8","152.6","125.9","129.9","162.1","177.8","203.9","211.5","208.4"
"Cash & Cash Equivalents","1.7","1.7","1.8","1.4","1.2","0.9","1.6","2.2","1.6","6.1","10.1","15.1","10.6","8.7","3.3","26.7","71.6","72","74","50.7","27.8","68.6"
"Short Term Loans & Advances","13.9","13.1","27.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
