"Title","Sep 2018","Mar 2019","Sep 2019","Mar 2020","Sep 2020","Mar 2021","Sep 2021","Mar 2022","Sep 2022","Mar 2023","Sep 2023","Mar 2024","Sep 2024","Mar 2025","Sep 2025","Mar 2026"
"SA/CON","SA","CON","SA","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Net Profit before Tax & Extraordinary Items","24.3","51.9","22.3","48.7","25.2","70.9","39.9","80.6","60.1","128.1","79.8","164.3","84.7","164.9","92.1","203.3"
"Total Adjustments (PBT & Extraordinary Items)","12.1","25.9","12.1","29","11.5","29.4","12.5","24.3","13.5","22.9","9.5","20.4","9.1","22.7","18.6","19.8"
"Depreciation","7.4","18.2","8.3","21","10.9","23.2","11.6","23.3","11.8","20","10.4","22.3","11.6","23.9","9.8","20.7"
"Interest (Net)","4.7","7.4","3.9","9.1","1.9","5.8","0.8","7.4","1.7","3","-0.7","-3","-2.4","-0.8","8.8","2.3"
"P/L on Sales of Assets","0.1","0.2","0","0","-0.1","-0.1","0","0.1","0","0","0","0","0","-0.4","-0.1","-3.1"
"P/L on Sales of Invest","0","0","0","0","0","0","0","0","0","0","0","1.1","0","0","0","0"
"P/L in Forex","0","0","0","-1.1","-1.2","0.5","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","-6.4","0","0","-0.1","0","0","0","0","0"
"Op. Profit before Working Capital Changes","36.4","77.7","34.5","77.7","36.6","100.3","52.4","104.8","73.6","151","89.3","184.7","93.8","187.6","110.6","223.1"
"Total (OP before Working Capital Changes)","-17.9","-40.7","-6.7","5.5","4.7","-1.7","-34.4","-70.8","-62.5","-59.1","10.9","-27","-26.2","-36.2","-9","6.5"
"Trade & Other receivables","-10.4","-23.1","-4.8","-7.2","2.4","-13.7","-6.8","-20.1","-33.9","-7.1","-4.1","-36.2","-15.8","-42.8","-7.7","-4.5"
"Inventories","2.8","-5.3","4.2","-0.5","14.7","-5.1","-34.7","-61","-30.3","-26.9","12.3","14.7","-26.2","-40.1","-9.2","-33.2"
"Trade Payables","-10.3","-12.3","-6","13.2","-12.4","17.1","7","10.4","1.6","-25.1","2.6","-5.5","15.8","8.6","24.4","35.6"
"Others","0","0","0","0","0","0","0","0","0","0","0","0","0","38.1","-16.5","8.6"
"Cash Generated from/(used in) Operations","18.5","37","27.8","83.2","41.3","98.6","18","34","11.1","91.9","100.2","157.7","67.6","151.5","101.7","229.6"
"Total-others","-3.3","-8.5","-12.3","-17.4","-8.5","-17.2","-10.1","-23.4","-8.6","-25.7","-15","-44.8","-18.2","-44","-26.4","-52.2"
