"Title","Jun 2015","Sep 2015","Dec 2015","Mar 2016","Jun 2016","Sep 2016","Dec 2016","Mar 2017","Jun 2017","Sep 2017","Dec 2017","Mar 2018","Jun 2018","Sep 2018","Dec 2018","Mar 2019","Jun 2019","Sep 2019","Dec 2019","Mar 2020","Jun 2020","Sep 2020","Dec 2020","Mar 2021","Jun 2021","Sep 2021","Dec 2021","Mar 2022","Jun 2022","Sep 2022","Dec 2022","Mar 2023","Jun 2023","Sep 2023","Dec 2023","Mar 2024","Jun 2024","Sep 2024","Dec 2024","Mar 2025","Jun 2025","Sep 2025","Dec 2025","Mar 2026"
"SA/CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Gross Sales/Income from operations","970.3","1065.4","921","1313.4","1056.8","996.3","1028.2","1177.5","1264.6","1298.8","1275.8","1454.6","1617.2","1631.7","1621.6","2024.1","1993.6","1583.8","2040.5","1808.7","1079.2","2130.3","2500.2","2505.1","2443.3","2977.5","3123.9","4080.4","3336.1","3845.6","4201.1","4291.6","4402.5","4489","4047.8","4567.7","4777.1","4627.8","5267","5324.4","5002.8","5037.7","5815.8","6076"
"Sale of Product","","1065.4","921","1313.4","1056.8","996.3","1028.2","1177.5","1264.6","1298.8","1275.8","1454.6","1617.2","1631.7","1621.6","2024.1","1993.6","1583.8","2040.5","1808.7","1079.2","2130.3","2500.2","2505.1","2443.3","2977.5","3123.9","4080.4","3336.1","3845.6","4201.1","4291.6","4402.5","4489","4047.8","4567.7","4777.1","4627.8","5267","5324.4","5002.8","5037.7","5815.8","6076"
"Less: Excise duty","0","0","0","132.8","116.6","101.3","113","122.9","145.5","-7.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Net Sales/Income from operations","970.3","1065.4","921","1180.5","940.2","895","915.2","1054.6","1119.1","1306.7","1275.8","1454.6","1617.2","1631.7","1621.6","2024.1","1993.6","1583.8","2040.5","1808.7","1079.2","2130.3","2500.2","2505.1","2443.3","2977.5","3123.9","4080.4","3336.1","3845.6","4201.1","4291.6","4402.5","4489","4047.8","4567.7","4777.1","4627.8","5267","5324.4","5002.8","5037.7","5815.8","6076"
"Other Operating Income","","23","25.3","0","35.6","27.3","28.3","27.6","36.5","38.7","38.6","64.8","59.3","58.8","69.6","70","78","63.5","75.4","79.8","30.6","71.8","100.7","81.8","91","106.4","106.4","134.3","102.5","123.6","126","139.5","142.4","141.5","130","198.1","197.2","146.1","165.7","184.3","167","168.6","166.6","193.2"
"Total Income from operations (net)","970.3","1088.4","946.2","1180.5","975.8","922.3","943.5","1082.2","1155.6","1345.4","1314.4","1519.4","1676.5","1690.5","1691.2","2094.1","2071.6","1647.3","2115.9","1888.5","1109.8","2202.1","2600.9","2587","2534.3","3083.9","3230.4","4214.7","3438.6","3969.2","4327.1","4431.1","4544.9","4630.4","4177.8","4765.7","4974.3","4773.9","5432.7","5508.6","5169.8","5206.3","5982.4","6269.2"
"Total Expenses","950.8","1026.8","883.8","1106.1","892.7","859.6","880","1009.6","1089.1","1263.8","1239.8","1431.7","1583.1","1620.4","1647.7","1972.6","1966.8","1599.3","1981.6","1794.1","1062.7","2058.1","2395.1","2408.1","2306.1","2889","3055.3","3976.5","3274","3765","4088.8","4155","4278.6","4346.7","3945.3","4532","4719.2","4682.7","5137.5","5152.5","4852.1","4817.4","5569.8","5817.4"
"Cost of Sales","872.3","931.8","781.3","973.4","799.6","744","774.6","914.2","974.3","1123.5","1121.4","1329.1","1465.8","1498","1525.7","1818.2","1795.1","1432.2","1763.3","1586.7","930.7","1847.7","2187.1","2199.3","2077.1","2653.4","2809.7","3682.9","2991.5","3474.7","3769.3","3782.3","3920.7","3978.4","3585.4","4132.6","4269.7","4241.9","4662.3","4696.4","4380.3","4341.3","5068","5268"
"Raw Material Consumed","756.5","748.8","596.7","713.7","759.9","748.1","805.8","844.2","1031","1075.6","1066.7","1394.8","1482.9","1450.2","1567","1788.6","1792.4","1443.5","1689.2","1671.4","884.8","1814.7","2114.9","2345.2","2349.9","2348.5","2828.7","3382.5","3371.2","3246.3","3717.9","3978","3737.9","3963.1","3859.3","3808.6","4087.7","4091.2","4087","4301.1","4132.6","4353.7","4595.1","4508.3"
"Purchase of Finished Goods","90.1","184.2","191.1","298.9","17.2","28.2","9.1","7.7","3.1","36.2","5.3","11.7","15.1","66.8","7.2","18.2","98.3","0.5","16.8","1.1","8.1","2.1","50.8","6.6","87","73.6","40.3","49.7","23.5","76.5","108.4","78.5","16.5","84.3","52.1","104.1","177.9","88.9","447.5","511.4","190","138.6","473.6","530.4"
"Changes in inventories of finished goods, work-in-progress and stock-in-trade","25.6","-1.1","-6.5","-39.2","22.5","-32.3","-40.2","62.3","-59.8","11.7","49.5","-77.4","-32.2","-19","-48.5","11.5","-95.6","-11.7","57.3","-85.7","37.8","30.9","21.4","-152.4","-359.7","231.3","-59.3","250.7","-403.1","151.9","-57","-274.2","166.3","-69","-326","220","4.1","61.8","127.7","-116.1","57.8","-150.9","-0.7","229.3"
"Other Direct Cost/Service Cost","57.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Employee Cost","13.8","14.4","14.6","20.3","19.4","19.3","19","17.6","21.2","21.6","20","23.4","26.1","27.3","25.9","28.6","30.1","35.4","38.2","38.6","28.7","33.4","35.8","31.7","35.9","37.3","38.9","41","44.5","46.9","55.4","59.5","60.4","62.7","64.4","70.1","80.1","87.2","89.9","75.4","93","88.7","92.7","96.2"
"Depreciation, amortization and depletion expense","7.3","7.6","8.2","11","10.2","16.7","10.9","13.1","12.2","12.4","13.9","15","15.2","16.2","15.7","17.2","20.2","24","26.2","25.5","23.9","25.1","26.2","27.5","26.5","27.3","27.2","27.9","29.4","27.6","34.5","46.8","40.9","41.3","47.1","46.6","46.5","46.9","50.3","57.6","54.4","58.1","59.2","59.3"
