"Title","Sep 2015","Mar 2016","Sep 2016","Mar 2017","Sep 2017","Mar 2018","Sep 2018","Mar 2019","Sep 2019","Mar 2020","Sep 2020","Mar 2021","Sep 2021","Mar 2022","Sep 2022","Mar 2023","Sep 2023","Mar 2024","Sep 2024","Mar 2025","Sep 2025","Mar 2026"
"SA/CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Shareholders Fund","514.2","567.5","649.5","703.4","770.5","837.8","875.3","964.1","1142.1","1356.2","1432.2","1694.7","1975","2452.5","2628.1","3005.6","3280.3","3604.6","3848.7","4208.7","4605.7","5296.5"
"Share Capital","23.4","23.4","23.6","23.6","23.6","23.7","23.7","23.9","24.3","24.9","24.9","25","50","50.1","50.1","55.5","55.5","55.5","55.5","55.5","55.5","55.5"
"Reserves & Surplus","490.8","544.1","625.9","679.8","746.9","814.1","851.6","940.2","1117.9","1331.3","1407.2","1669.7","1925","2402.5","2578.1","2950.1","3224.9","3549.1","3793.2","4153.2","4550.2","5241"
"Minority Interest","0","0","0","0","0","0","0","0","89.7","95.4","106.5","138.3","174.1","0","0","0","0","0","0","0","0","0"
"Total Non Current Liabilities","310.3","279.6","218.9","197.9","195.5","215","288","352.8","423.1","589.7","477","387.6","360.3","559.1","666.5","665.8","878.1","1086.8","817.1","757.4","681.1","667.8"
"Long Term Borrowings","230.9","187.6","124.6","104.9","90.9","78.2","148.8","174.5","255.4","404.4","278.2","183.5","150.9","347.2","442.1","408.1","612.9","805.6","519.6","428.1","338.2","301.5"
"Deferred Tax Liabilities(Net)","75.7","85.9","86.9","81.3","85.8","99.4","101.8","120","96.5","101.2","105.4","111.2","114.1","118.7","117.7","117.1","121.4","125.8","131.7","153","167.2","179.8"
"Other Long Term Liabilities","0.1","1","1","4.5","10.4","29.6","28.9","48.4","58.4","68","73.4","76.5","77.7","76.3","88.1","118.7","120.4","129.3","136.6","146","140.4","156.7"
"Long Term Provisions","3.5","5.1","6.3","7.2","8.4","7.8","8.5","9.9","12.9","16.2","20","16.4","17.5","16.9","18.7","21.8","23.3","26","29.2","30.3","35.3","29.9"
"Total Current Liabilities","668","813.3","634.7","943.3","1329.3","1128.3","1377.8","1457","1368.1","1224.7","1244.2","1178.4","1324.2","1429.3","1668.8","2180.3","2141.3","2495.4","2560.8","2630.1","3022.6","2869"
"Short Term Borrowings","396.1","410.9","414","464","597.9","595.2","771.5","535.6","547","323.4","410.8","337","401.5","234","510","464.9","563.6","338.6","503","206.3","377.3","196.2"
"Trade Payables","171.8","254.3","93.6","392","527.3","379.3","418.9","698.9","615.7","764.4","692.2","785.9","821.9","1059.5","1068.9","1597","1320.1","1981.6","1885.8","2231.2","2362.1","2368.3"
"Other Current Liabilities","87.3","104.1","109.1","78.7","203.9","153.6","187.1","221.6","204.5","135.8","140.1","54.3","99.5","134.4","88.5","116.9","256","173.9","170.2","190.8","280.5","301.5"
"Short Term Provisions","12.9","44","18","8.6","0.2","0.3","0.3","0.8","0.8","1.1","1.2","1.2","1.3","1.5","1.5","1.5","1.5","1.3","1.8","1.8","2.7","3"
"TOTAL EQUITY & LIABILITIES","1492.5","1660.4","1503","1844.6","2295.3","2181.2","2541.2","2773.9","3023","3266","3259.9","3399","3833.5","4440.9","4963.5","5851.6","6299.7","7186.8","7226.6","7596.2","8309.4","8833.3"
"Total Non Current Assets","697.4","770.6","821.8","926.8","1008.9","1042.8","1118.6","1284.9","1750.9","1816","1856.7","1999.8","2173.1","2613.9","2926.8","3293.9","3534.8","3845.4","4144.7","4413.2","4444.2","4979.2"
"Fixed Assets(incl. Capital Work in Progress)","617.1","655.3","679.2","769.2","839.9","908.8","960.4","1038.1","1444.1","1581","1607.3","1705.9","1827","2192.1","2475.6","2816.9","3087.2","3346.5","3560.9","3865.9","3948.2","4251.2"
"Tangible Assets","0","619.9","0","630.8","722.7","859.6","841.1","1007.8","1412.4","1568.1","1563.2","1596.4","1650.2","1687.3","1700.8","2441.7","2724","3141","3341.5","3528.1","3633.5","3921.1"
"Intangible Assets","0","3.3","0","16","3.3","3.3","2.9","25.9","2.9","140.2","139.9","139.3","138.8","138.6","138.6","138.7","140.2","140","139.5","139.9","139.9","139.4"
"Capital Work in Progress","0","32","0","122.4","113.9","46","116.4","27.5","28.7","10.1","41.8","107.7","175.6","503.7","773.8","374","360.5","203","217.3","335.5","312.4","328.2"
"Goodwill on Consolidation","19.9","42.9","42.9","23","42.9","23","23","23","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5"
"Non Current Investments","14.6","13.1","12.4","0.4","0.4","1.1","1.1","49.4","1.4","1.5","1.6","1.5","4.4","86.3","103.5","96","48.1","102.7","96.7","126.2","45.4","48.5"
"Long Term Loans & Advances","45.8","59.2","87.3","0.4","18.1","0","0.5","40.9","24.7","25.3","24.9","26.9","26.6","30.4","38.9","34.5","24.9","32.6","52.8","107.7","35.1","283.9"
"Other Non Current Assets","0","0.1","0.1","133.7","107.6","109.9","133.6","133.5","143.3","70.7","85.4","128.1","177.4","167.7","171.3","208.9","237.1","226.2","296.8","176","278","258"
"Total Current Assets","795.1","889.8","681.3","917.8","1286.4","1138.4","1411.8","1478.6","1261.7","1448.4","1401.5","1399.1","1660.4","1827","2036.7","2538.5","2764.9","3341.4","3081.9","3183","3865.2","3854.1"
"Current Investments","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","6","0","0","0","0","0"
"Inventories","411.4","594.4","407.6","469.6","794.7","591.5","809.5","783.5","769","784.2","604","759.9","918.2","847.2","1093.3","1479.9","1363.3","1637.9","1679.2","1623.2","1934.3","1445.3"
"Trade Receivables","273.3","220.1","212.2","294.9","223.3","432.1","490.9","543.3","335.5","476.4","125.7","130.6","186.6","341.7","104.9","137.4","144.5","139.1","224.5","267.3","281.2","350.7"
"Cash & Cash Equivalents","23.5","1.4","1.8","1.6","84.6","6.8","1.6","47.8","47","45.6","504.9","357.9","420.2","376.4","657","352.5","707","347.6","203.3","574.9","612.6","886.2"
"Short Term Loans & Advances","83.4","69.2","43.1","0.8","1.8","1.2","1.4","1.3","1.5","1.3","1.5","1.3","1.7","1.3","1.8","1.3","1.4","3.6","3.9","4.4","7","3.7"
"Other Current Assets","3.6","4.8","16.5","151","182","106.8","108.4","102.6","108.8","140.9","165.4","149.4","133.7","255.4","174.7","567.4","542.6","1213.1","971","713.3","1030.1","1168.2"
"Other Assets","0","0","0","0","0","0","10.8","10.4","10.4","1.6","1.7","0","0","0","0","19.3","0","0","0","0","0","0"
"TOTAL ASSETS","1492.5","1660.4","1503","1844.6","2295.3","2181.2","2541.2","2773.9","3023","3266","3259.9","3399","3833.5","4440.9","4963.5","5851.6","6299.7","7186.8","7226.6","7596.2","8309.4","8833.3"
