"Title","Sep 2018","Mar 2019","Sep 2019","Mar 2020","Sep 2020","Mar 2021","Sep 2021","Mar 2022","Sep 2022","Mar 2023","Sep 2023","Mar 2024","Sep 2024","Mar 2025","Sep 2025","Mar 2026"
"SA/CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Net Profit before Tax & Extraordinary Items","111.9","226.9","106.8","296.3","169.1","545.8","421.1","832.3","365.2","863.3","537.5","977.7","321.6","960.4","696.3","1557.4"
"Total Adjustments (PBT & Extraordinary Items)","91.5","169.3","99.7","193.1","73.1","138.7","58.6","134.1","71.3","191.5","104.7","227.6","139","267.6","141.7","299.5"
"Depreciation","31.4","64.3","44.2","95.9","49","102.8","53.8","109","57","138.3","82.3","175.9","93.4","201.3","112.5","230.9"
"Interest (Net)","56.7","110.5","53.2","104.8","29.3","45.4","14.8","28.7","16.9","44.7","32.1","69.1","33.6","79.9","24.7","52.2"
"P/L on Sales of Assets","0.7","-0.1","0","-0.2","0","0","0.5","0.6","0.2","0.9","-6.1","-5.5","0.5","-22","1.4","-5.8"
"Prov. & W/O (Net)","0.8","1","0","2.6","0.2","-0.2","0.1","1.2","0.8","6.8","2.5","2.3","2.8","5.9","3.2","14.7"
"P/L in Forex","3","-3.7","5.6","-2.8","0.1","-2.3","-6.4","0.8","-1.6","2","-1.2","-2.5","1.1","-4.7","-1.1","7.4"
"Others","-1","-2.8","-3.3","-7.1","-5.5","-6.9","-4.2","-6.1","-1.9","-1.3","-4.8","-11.8","7.6","7.2","1.1","0.1"
"Op. Profit before Working Capital Changes","203.4","396.2","206.5","489.5","242.2","684.5","479.8","966.4","436.5","1054.8","642.2","1205.3","460.7","1228","838","1856.8"
"Total (OP before Working Capital Changes)","-245.6","28.7","140.9","101.7","446.8","412.1","-154","-115.4","92.6","-147.5","-28.7","124.2","-220.3","172.8","-123.2","544.7"
"Trade & Other receivables","-59.5","-112.3","225.3","84.7","348.8","347","-49.2","-210.8","238.5","199","-6.4","-0.1","-88.5","-132.9","-15","-102.6"
"Inventories","-218.1","-192.2","43.7","28.4","179.9","23.2","-158.9","-88.7","-246.8","-634","115.8","-159.5","-42.1","12.5","-312.4","174.9"
"Trade Payables","39.6","323.6","-122.9","25.7","-72.2","21.5","34.4","274","9.4","537.5","-276.9","384.6","-94.5","249.6","130.9","131.3"
"Loans & Advances","19","0","0.9","0","1.1","0","0.9","-3.4","-1.5","-275.5","55.1","-61.7","-34.7","-29.4","-22.6","68.3"
"Change in Borrowing","-1.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Others","-24.9","9.6","-6","-37.2","-10.6","20.3","18.7","-86.3","92.9","25.5","83.8","-39.2","39.5","73","95.9","272.8"
"Cash Generated from/(used in) Operations","-42.2","424.9","347.4","591.1","689","1096.6","325.7","851","529.1","907.4","613.5","1329.5","240.3","1400.8","714.8","2401.5"
"Total-others","-43.4","-67.3","-42.6","-81.6","-37","-119.5","-63.2","-199.3","-94.8","-216.1","-91.6","-218","-106.3","-187.5","-114.7","-298.3"
"Interest Paid(Net)","-43.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Direct Taxes Paid","0","-67.3","-42.6","-81.6","-37","-119.5","-63.2","-199.3","-94.8","-216.1","-91.6","-218","-106.3","-187.5","-114.7","-298.3"
"Cash Flow before Extraordinary Items","-85.6","357.6","304.8","509.5","652","977.1","262.5","651.7","434.3","691.3","521.9","1111.6","134","1213.3","600.1","2103.2"
"Net Cash from Operating Activities+","-85.6","357.6","304.8","509.5","652","977.1","262.5","651.7","434.3","691.3","521.9","1111.6","134","1213.3","600.1","2103.2"
"Purchased of Fixed Assets","0","-236.9","-194.1","-309.2","-95.1","-286.9","-219.5","-596.7","-398.7","-862","-404.1","-694.8","-407.3","-722.5","-311.5","-696.3"
"Sale of Fixed Assets","0","10.8","5.3","7.8","4.3","7.2","2.9","9.8","5.2","19.7","47.8","33","0.6","68.8","3.7","44.3"
"Purchase of Investments","0","-0.1","-0.2","-142.3","0","-46.2","-0.1","-87.1","0","-27.2","0","-5.5","0","-36","0","-7.4"
"Sale of Investments","0","0","0","0","0","0","0","0","0","5","66.1","1.1","0","0","106.4","109.9"
"capital WIP","-115.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Interest Received","0.6","1.3","3","4.1","1","19.7","7.9","14.7","0.7","5.9","1.3","39.3","0.9","65.8","28","50.8"
"Invest.In Subsidiaires","0","0","-127.3","0","-46.2","0","0","0","0","0","0","0","0","0","0","0"
"Investment in Group Cos","0","0","0","0","0","0","-2.9","0","-25.3","0","-6","0","-11.1","0","0","0"
"Others","0","-39","0","4.8","-500.2","-340.6","139.8","129.1","-313.1","-17.1","-103.7","-288.7","243.5","249.3","-221.3","-895.1"
"Net Cash Used in Investing Activities+","-114.8","-263.9","-313.5","-434.9","-636.2","-646.8","-71.9","-530.1","-731.3","-875.7","-398.8","-915.6","-173.3","-374.7","-394.7","-1393.8"
"Proceeds from Issue of shares (incl share premium)","0","5.6","72","177.5","7.9","15.4","0","7","0","2.7","0","2.8","0","0","0","0"
"Proceed from Other Long Term Borrowings","110","150","63","383","141","141","0","238.7","168.2","355.4","206.7","546.4","1.6","2.5","1.5","23.5"
"Proceed from Short Tem Borrowings","217.5","156.1","96.9","0","87.7","0","71","0","234.1","0","96.8","0","176.6","1150","172.5","0"
"Of the Long Tem Borrowings","-36.4","-105.2","-85.1","-250.7","-259.2","-387.3","-39.9","-86.5","-31.2","-65.2","0","-161.1","-300.1","-395.8","-94.2","-172.2"
"Of the short term Borrowings","-41.1","-117.9","-100","-227.2","0","-64.8","0","-92","0","0","0","-126.7","0","-1270.2","0","-13.7"
"Of financial Liabilities","0","0","0","-1.2","-0.6","-1.1","-0.6","-1.2","-0.6","-1.1","0","-4.1","0","-1.5","0","0"
"Dividend Paid","-0.3","-33.5","0","-34","0","0","0","0","-87.6","-87.5","-138.7","-138.7","0","-152.6","-159.6","-159.6"
"Others","0","-6.8","25","-6.4","0.3","0.6","0.3","0.6","0.3","0.6","0","2","0","0","0","0"
"Net Cash Used in Financing Activities+","195.3","-53","7.6","-77.8","-56.6","-358.5","9.9","26","261","143.4","119.5","26.6","-200.8","-814.9","-137.2","-438.4"
"Net Inc/(Dec) in Cash and Cash Equivalent","-5.1","40.7","-1.1","-3.2","-40.9","-28.3","200.6","147.6","-36","-41","242.5","222.5","-240.1","23.6","68.2","271"
"Cash and Cash Equivalents at Beginning of the year","6.8","6.6","47.8","47.3","44.4","44.4","16.1","16.1","163.7","163.7","122.7","122.7","345.2","345.2","368.8","368.8"
"Cash and Cash Equivalents at End of the year","1.7","47.3","47","44.4","3.5","16.1","216.7","163.7","127.7","122.7","365.2","345.2","105.1","368.8","437","644.2"
"Other Adjustments","0","0","0.3","0.3","0","0","0","0","0","0","0","0","0","0","0","0"
"Interest Paid","-54.4","-101.4","-64.3","-118.7","-33.6","-62.3","-20.9","-40.7","-22.3","-61.4","-45.3","-94.1","-78.9","-147.2","-57.4","-116.4"
"Exchange Diff on translation of foreign currency cash & cash equivalents","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.4"
