"Title","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025"
"SA/CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Share Capital","23.4","23.6","23.7","23.9","24.9","25","50.1","55.5","55.5","55.5"
"Ordinary Capital","23.4","23.6","23.7","23.9","24.9","25","50.1","55.5","55.5","55.5"
"Authorised","","","","","","","","","",""
"No. of Shares","25000000","45000000","45000000","45000000","45000000","225000000","375000000","485000000","485000000","485000000"
"Amount(Rs cr)","25","45","45","45","45","45","75","97","97","97"
"Face Value","10","10","10","10","10","2","2","2","2","2"
"Issued","","","","","","","","","",""
"No. of Shares","23438636","23589955","23729805","23850381","24869015","124896000","250280500","277330814","277524564","277524564"
"Amount(Rs cr)","23.4","23.6","23.7","23.9","24.9","25","50.1","55.5","55.5","55.5"
"Face Value","10","10","10","10","10","2","2","2","2","2"
"Subscribed","","","","","","","","","",""
"No. of Shares","23438636","23589955","23729805","23850381","24869015","124896000","250280500","277330814","277524564","277524564"
"Amount(Rs cr)","23.4","23.6","23.7","23.9","24.9","25","50.1","55.5","55.5","55.5"
"Face Value","10","10","10","10","10","2","2","2","2","2"
"Paid up","","","","","","","","","",""
"Forfeited","","","","","","","","","",""
"Other shareholding data","","","","","","","","","",""
"Ordinary A / DVR Capital","0","0","0","0","0","0","0","0","0","0"
"Authorised","","","","","","","","","",""
"Issued","","","","","","","","","",""
"Subscribed","","","","","","","","","",""
"Paid up","","","","","","","","","",""
"Forfeited","","","","","","","","","",""
"Preference Capital - I","0","0","0","0","0","0","0","0","0","0"
"Authorised","","","","","","","","","",""
"Issued","","","","","","","","","",""
"Subscribed","","","","","","","","","",""
"Paid up","","","","","","","","","",""
"Forfeited","","","","","","","","","",""
"Calls in arrears","","","","","","","","","",""
"Preference Capital - II","0","0","0","0","0","0","0","0","0","0"
"Authorised","","","","","","","","","",""
"Issued","","","","","","","","","",""
"Subscribed","","","","","","","","","",""
"Paid up","","","","","","","","","",""
"Forfeited","","","","","","","","","",""
"Calls in arrears","","","","","","","","","",""
"Preference Capital - III","0","0","0","0","0","0","0","0","0","0"
"Authorised","","","","","","","","","",""
"Issued","","","","","","","","","",""
"Subscribed","","","","","","","","","",""
"Paid up","","","","","","","","","",""
"Forfeited","","","","","","","","","",""
"Calls in arrears","","","","","","","","","",""
"Unclassified Capital","0","0","0","0","0","0","0","0","0","0"
"Authorised","","","","","","","","","",""
"Issued","","","","","","","","","",""
"Subscribed","","","","","","","","","",""
"Paid up","","","","","","","","","",""
"Forfeited","","","","","","","","","",""
"Calls in arrears","","","","","","","","","",""
"Reserves and Surplus","544.1","679.8","814.1","940.2","1331.3","1669.7","2408.6","2950.1","3549.1","4153.2"
"Capital Reserve","0","0","0","0","13.4","13.4","8","8","8","8"
"Debenture Redemption Reserve","18.8","0","0","0","0","0","0","0","0","0"
"General Reserve","27.5","28.9","28.9","28.9","40","40","40","40","40","40"
"Securities Premium Reserve","187.4","196.5","205.1","212.6","391.2","415.1","401","403.7","408.4","408.4"
"Share Options Outstanding Account","0","4.9","6","7.7","9.1","3.8","1.6","1.8","0","14.4"
"Debt Redemption Reserve","0","31.3","50","80","0","0","0","0","0","0"
"Revaluation Reserve","0","0","0","0","0","0","0","0","0","0"
"Other Reserve","0","0","0","8.9","0","0","2.7","-12.7","-10.7","-25.7"
"Surplus / (Deficit)","310.5","418.3","524.1","602.2","877.6","1197.4","1955.3","2509.4","3103.5","3708.2"
"Opening Balance","257.3","307.2","418.3","524.1","602.2","877.6","1197.4","1955.3","2509.4","3103.5"
"Adjustments","0","0","0","0","0","0","138.3","0","0","0"
"Net Profit for the Year","100.6","151.8","158.7","148.1","236.4","361.5","619.6","641.6","732.8","757.4"
"Transferred from Reserves","0","0","0","0","80","0","0","0","0","0"
"Debenture Redemption Reserve","0","0","0","0","80","0","0","0","0","0"
"Amount available for appropriations","357.8","459","577.1","672.2","918.6","1239.1","1955.3","2597","3242.2","3860.9"
