"Title","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025"
"SA/CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Revenue From Operations(Gross)","4656.4","4377.7","5472.4","7152.3","7723.2","8499.8","13063.3","16166","18118.8","20689.5"
"Sale of Products","4545.9","4258.8","5293.7","6894.6","7426.5","8214.9","12625.2","15674.4","17506.9","19996.3"
"Manufactured / Finished Goods","3746.1","0","0","0","0","0","0","0","0","0"
"Traded Goods","799.8","0","0","0","0","0","0","0","0","0"
"Other","0","4258.8","5293.7","6894.6","7426.5","8214.9","12625.2","15674.4","18190.7","21440.4"
"Less: Claims, Discounts, Taxes etc.","0","0","0","0","0","0","0","0","683.8","1444.1"
"Trade Discount, Rebate and Other Allowance","0","0","0","0","0","0","0","0","683.8","1444.1"
"Income From Insurance Operations","0","0","0","0","0","0","0","0","0","0"
"Other operating revenues","110.5","118.8","178.6","257.7","296.7","284.9","438.2","491.6","611.9","693.3"
"Job Works","0.4","1","0.2","0","0.1","0","0.1","0","0.1","0"
"Sale of Scrap","105.5","111.2","172.3","249.9","284.7","278.7","431.3","489.7","561.3","667.1"
"Export Incentives and Claims","0","5.2","5.4","7.8","11.9","6.2","6.8","1.9","2.5","0.5"
"Duty Drawback Received","4.6","0","0","0","0","0","0","0","0","0"
"Other Commission Income","0","1.5","0.8","0","0","0","0","0","0","0"
"Government Grant / Subsidy Income","0","0","0","0","0","0","0","0","48","25.6"
"Reported Sales","4213.6","3923.9","5334.8","7152.3","7723.2","8499.8","13063.3","16166","18118.8","20689.5"
"Less: Excise Duty","442.8","453.8","137.6","0","0","0","0","0","0","0"
"Revenue From Operations(Net)","4213.6","3923.9","5334.8","7152.3","7723.2","8499.8","13063.3","16166","18118.8","20689.5"
"Other Income","10.3","6","8","11.7","22.2","35.9","40.5","47.2","74.9","96.1"
"Interest Income","2.6","0.9","2.4","2.9","8.4","20.7","15.7","22.4","44.3","53.4"
"From Bank Deposits","1.1","0.9","2.4","0.8","0.9","19.3","12.9","21.1","42.5","50.6"
"From Others","1.5","0","0","2.1","7.5","1.4","2.8","1.3","1.8","2.9"
"Dividend Income","0","0","0","0","0","0","0","0","0","0"
"Profit on Sale of Investments","0.1","0","0","0","0","0","0","0","0","0"
"From Long Term Investments","0.1","0","0","0","0","0","0","0","0","0"
