Title,Jun-15,Dec-15,Mar-16,Sep-16,Mar-17,Sep-17,Mar-18,Sep-18,Mar-19,Sep-19,Mar-20,Sep-20,Mar-21,Sep-21,Mar-22,Sep-22,Mar-23,Sep-23,Mar-24,Sep-24,Mar-25,Sep-25,Mar-26
SA/CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON
Shareholders Fund,1211.5,1280,1315.7,1497.2,1695.7,1658.3,1894.9,2002,2154,2241.9,2261.2,2475.4,3169.2,3351.5,3844.4,3911.3,4402.1,4605.3,5108.8,5306,5660.4,5721.2,6169.1
Share Capital,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4
Reserves & Surplus,1186.1,1254.6,1290.3,1471.8,1670.3,1632.9,1869.5,1976.6,2128.6,2216.5,2235.8,2450,3143.8,3326.1,3819,3885.9,4376.7,4579.9,5083.4,5280.6,5635,5695.8,6143.7
Total Non Current Liabilities,334,184.3,182.2,151.3,147,139,129,129.2,139.5,139.9,185.8,181.7,144.9,135.8,151.2,143.2,156.2,154,174.1,198,193.1,201.1,208.4
Long Term Borrowings,232.9,80.9,64.1,31.6,16.6,1.8,1.4,1.4,1.1,0.8,30.4,26,26.3,20.1,32.3,28.7,36.7,31.5,42.1,57.6,58.4,62.4,68.9
Deferred Tax Liabilities(Net),89.5,89.5,105.5,105.5,116.3,122,113.4,110.6,120.4,86.7,132.6,130.7,91.9,88.8,90.4,86.9,90.8,93.3,96,100.6,87.5,85.2,94.8
Other Long Term Liabilities,2.7,3.7,1,1.3,0.8,0.9,0.9,1.2,1.9,34.2,2.8,5.1,4.3,4.7,4,3.8,2.3,3.1,6.1,6.6,9.2,12.9,8.3
Long Term Provisions,8.8,10.1,11.5,12.9,13.3,14.2,13.3,16,16.2,18.1,20,20,22.4,22.2,24.4,23.8,26.4,26.1,29.8,33.2,38,40.7,36.3
Total Current Liabilities,811.6,949.9,927.2,1021.6,974.6,1054.8,912.3,1067.1,935.8,1041.2,1171.6,880.7,968.2,878.2,1000.4,1016.6,1135.9,1014.9,1272.8,1247.2,1314.3,1546.1,1417.5
Short Term Borrowings,95.9,187.7,163.8,382.1,214.9,397,231,233.9,160.9,301.4,410.1,36.8,11.4,11,13.4,13.4,14.5,12.3,12.9,16.8,17.4,259.7,21.9
Trade Payables,300.4,335.5,343.9,317.5,453.3,426.9,489.8,580.6,557.4,481.2,547.5,560.9,646.2,586,794,804.8,903.8,804.8,1015.6,1002.8,893.4,1035.4,1027.1
Other Current Liabilities,258.3,386.6,415.9,317.8,302.4,226.8,184.4,248.1,209.6,254.1,202.8,273.9,303.2,274.4,185.4,190.6,209.2,189.5,228,212.8,392.6,234.4,340
Short Term Provisions,156.9,40.2,3.5,4.2,4,4.2,7.1,4.4,7.8,4.5,11.3,9.2,7.4,6.8,7.6,7.8,8.5,8.4,16.2,14.8,10.9,16.6,28.4
TOTAL EQUITY & LIABILITIES,2357,2414.2,2425.1,2670.1,2817.4,2852.1,2936.1,3198.3,3229.3,3423,3618.5,3537.8,4282.3,4365.4,4995.9,5071.1,5694.2,5774.2,6555.7,6751.2,7167.8,7468.4,7794.9
Total Non Current Assets,1344.9,1433.3,1448.5,1501.8,1539.5,1585.9,1676,1757.3,1891.5,1998.6,2010.8,2029.7,2216.3,2292.4,2520.6,2663.8,2815.5,2880.9,3268.3,3582.5,4061.9,4527.2,4676
Fixed Assets(incl. Capital Work in Progress),1132.3,1208.1,1252.9,1264.8,1310,1354.7,1428.4,1495.4,1611,1674.9,1700.7,1699.3,1765.3,1807.7,1923.1,2015,2148,2178.3,2466.8,2603.9,3071.8,3524.3,3805.9
